n/d;n/d;n/d;n/d;n/d
4;3;4;5;6
1;Негорючий неэкранированный, бронированный черный кабель -02 x 6 мм2 + экран для заземления, не искробезопасный, - изоляция проводника: оболочка с низким дымовыделением и нулевым содержанием галогенов- LSZH и внешняя оболочка: оболочка с низким дымовыделением и нулевым содержанием галогенов - LSZH;BKE031SE02C_6___GNLZ;б/н;750 м.
1.2.;Негорючий бронированный черный кабель парной скрутки, индивидуальный экран -12 x I мм2, не искробезопасный, - изоляция проводника: оболочка с низким дымовыделением и нулевым содержанием галогенов- LSZH и внешняя оболочка: оболочка с низким дымовыделением и нулевым содержанием галогенов - LSZH;BKI033SE12P_I___NILZ;б/н;485 м.
1.3.;Огнестойкий бронированный красный кабель тройной скрутки, индивидуальный экран -12 х 2.5 мм2, не искробезопасный, . Изоляция проводника: огнеупорная лента Mica / Glass покрытая экструдированным сшитым ХЕРЕ-соединением и внешняя оболочка: оболочка с низким дымовыделением и нулевым содержанием галогенов- LSZH;BKI933SE12T_2.5_NIMS;б/н;560 м.
n/d;n/d;n/d;n/d;n/d
2;3;4;5;6
LL;Негорючий экранированный бронированный черный кабель парной скрутки - 01 x I мм2, не искробезопасный, - изоляция проводника: оболочка с низким дымовыделением и нулевым содержанием галогенов- LSZH и внешняя оболочка: оболочка с низким дымовыделением и нулевым содержанием;BKI032SE01P_1 ___NILZ;б/н;270 м.
1.6.;Негорючий бронированный черный кабель парной скрутки, индивидуальный экран -06 x 1.5 мм2, не искробезопасный, - изоляция проводника: оболочка с низким дымовыделением и нулевым содержанием галогенов- LSZH и внешняя оболочка: оболочка с низким дымовыделением и нулевым содержанием галогенов - LSZH;BKI033SE06P 1.5 NILZ;б/н;485 м.
1.7.;Негорючий небронированный черный кабель -02 x 4 мм2 + экран для заземления, не искробезопасный, - изоляция проводника: оболочка с низким дымовыделением и нулевым содержанием галогенов- LSZH и внешняя оболочка: оболочка с низким дымовыделением и нулевым содержанием галогенов - LSZH;BKE011SE02C_4___GNLZ;б/н;140 м.
1.10.;Негорючий небронированный черный кабель -02 x 2.5 мм2 + экран для заземления, не искробезопасный, - изоляция проводника: оболочка с низким дымовыделением и нулевым содержанием галогенов- LSZH и внешняя оболочка: оболочка с низким дымовыделением и нулевым содержанием галогенов - LSZH;BKE011SE02C 2.5 СМЕХ;б/н;315м.
n/d;n/d;n/d;n/d;n/d
2;3;4;5;6
ЕЛЬ;Огнестойкий бронированный красный кабель тройной скрутки, индивидуальный экран -06 х 2.5 мм2, не искробезопасный, . Изоляция проводника: огнеупорная лента Mica / Glass покрытая экструдированным сшитым ХГРЕ-соединением и внешняя оболочка: оболочка с низким дымовыделением и нулевым содержанием галогенов- LSZH;BKI933SE06T 2.5 NIMS;б/н;280 м.
ДТ.;Огнестойкий экранированный бронированный красный кабель -06 х 4 мм2, не искробезопасный, - Изоляция проводника: огнеупорная лента Mica / Glass покрытая экструдированным сшитым ХГРЕ-соединением и внешняя оболочка: оболочка с низким дымовыделением и нулевым содержанием галогенов- LSZH;BKE932SE06C_4___NIMS;б/н;5320 м.
1.13.;Негорючий бронированный черный кабель парной скрутки, индивидуальный экран -06 x 1 мм2, не искробезопасный, - изоляция проводника: оболочка с низким дымовыделением и нулевым содержанием галогенов- LSZH и внешняя оболочка: оболочка с низким дымовыделением и нулевым содержанием галогенов - LSZH;BKI033SE06P_1___NILZ;б/н;495 м.
1.14.;Негорючии неэкранированный, бронированный черный кабель -02 x б мм2 + экран для заземления, не искробезопасный, - изоляция проводника: оболочка с низким дымовыделением и нулевым содержанием галогенов- LSZH и внешняя оболочка: оболочка с низким дымовыделением и нулевым содержанием галогенов - LS7H;BKETI11SE02C 4 GNMZ;б/н;105 м.
